Description,Currency,Container_type,Container_size,Unit,Rate/unit

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,80.0
CFD,INR,standard,20,PER_SHIPMENT,80.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,5.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,60.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,9.0
REB,INR,standard,20,PER_CONTAINER,10.0
REB,INR,standard,20,PER_CONTAINER,80.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,10.0
CFD,INR,standard,40,PER_SHIPMENT,80.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,5.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,80.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,18.0
REB,INR,standard,40,PER_CONTAINER,5.0
REB,INR,standard,40,PER_CONTAINER,10.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
CFD,INR,standard,40HC,PER_SHIPMENT,80.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,5.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,60.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,9.0
REB,INR,standard,40HC,PER_CONTAINER,60.0
REB,INR,standard,40HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,60.0
CFD,INR,standard,45HC,PER_SHIPMENT,80.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,5.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,2000.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,108.0
REB,INR,standard,45HC,PER_CONTAINER,60.0
REB,INR,standard,45HC,PER_CONTAINER,60.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,0.0
DDF,INR,standard,20,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,80.0
