Description,Currency,Container_type,Container_size,Unit,Rate/unit

PORT,HKHKG1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
REB,INR,standard,20,PER_SHIPMENT,60.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,10.0
BILL OF LADING FEE,INR,standard,20,PER_BL,5.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,10.0
THC (per container),INR,standard,20,PER_CONTAINER,60.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
CFD,INR,standard,20,PER_CONTAINER,10.0

PORT,HKHKG1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,80.0
REB,INR,standard,40,PER_SHIPMENT,60.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,10.0
BILL OF LADING FEE,INR,standard,40,PER_BL,5.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40,PER_CONTAINER,80.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
CFD,INR,standard,40,PER_CONTAINER,5.0

PORT,HKHKG1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,60.0
REB,INR,standard,40HC,PER_SHIPMENT,60.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,10.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,5.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,60.0
THC (per container),INR,standard,40HC,PER_CONTAINER,60.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
CFD,INR,standard,40HC,PER_CONTAINER,60.0

PORT,HKHKG1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,80.0
REB,INR,standard,45HC,PER_SHIPMENT,60.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,10.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,5.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,80.0
THC (per container),INR,standard,45HC,PER_CONTAINER,2000.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
CFD,INR,standard,45HC,PER_CONTAINER,80.0

PORT,CNQSE1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
BAS,INR,standard,20,PER_SHIPMENT,40.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,60.0
BILL OF LADING FEE,INR,standard,20,PER_BL,80.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,60.0
THC (per container),INR,standard,20,PER_CONTAINER,40.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,80.0
DDF,INR,standard,20,PER_CONTAINER,60.0

PORT,CNQSE1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,0.0
BAS,INR,standard,40,PER_SHIPMENT,40.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,60.0
BILL OF LADING FEE,INR,standard,40,PER_BL,80.0
