Description,Currency,Container-type,Container size,Unit,Rate/unit

port,DKAAR1
Documentation fee - Destination,EUR,standard,20,PER_BL,50.0
Terminal Handling Service - Destination,EUR,standard,20,PER_CONTAINER,0.0
Import Service,EUR,standard,20,PER_CONTAINER,199.01
Documentation fee - Destination,EUR,standard,40,PER_BL,50.0
Terminal Handling Service - Destination,EUR,standard,40,PER_CONTAINER,0.0
Import Service,EUR,standard,40,PER_CONTAINER,199.01
Documentation fee - Destination,EUR,standard,40HC,PER_BL,50.0
Terminal Handling Service - Destination,EUR,standard,40HC,PER_CONTAINER,0.0
Import Service,EUR,standard,40HC,PER_CONTAINER,199.01
Documentation fee - Destination,EUR,standard,45HC,PER_BL,50.0
Terminal Handling Service - Destination,EUR,standard,45HC,PER_CONTAINER,0.0
Import Service,EUR,standard,45HC,PER_CONTAINER,199.01

port,BEANR1
Documentation fee - Destination,EUR,standard,20,PER_BL,30.0
Terminal Handling Service - Destination,EUR,standard,20,PER_CONTAINER,180.0
Documentation fee - Destination,EUR,standard,40,PER_BL,30.0
Terminal Handling Service - Destination,EUR,standard,40,PER_CONTAINER,180.0
Documentation fee - Destination,EUR,standard,40HC,PER_BL,30.0
Terminal Handling Service - Destination,EUR,standard,40HC,PER_CONTAINER,180.0
Documentation fee - Destination,EUR,standard,45HC,PER_BL,30.0
Terminal Handling Service - Destination,EUR,standard,45HC,PER_CONTAINER,180.0

port,DEBRV1
Documentation fee - Destination,EUR,standard,20,PER_BL,30.0
Terminal Handling Service - Destination,EUR,standard,20,PER_CONTAINER,237.0
Documentation fee - Destination,EUR,standard,40,PER_BL,30.0
Terminal Handling Service - Destination,EUR,standard,40,PER_CONTAINER,237.0
Documentation fee - Destination,EUR,standard,40HC,PER_BL,30.0
Terminal Handling Service - Destination,EUR,standard,40HC,PER_CONTAINER,237.0
Documentation fee - Destination,EUR,standard,45HC,PER_BL,30.0
Terminal Handling Service - Destination,EUR,standard,45HC,PER_CONTAINER,237.0

port,DKCSO1
Documentation fee - Destination,EUR,standard,20,PER_BL,50.0
Terminal Handling Service - Destination,EUR,standard,20,PER_CONTAINER,0.0
Import Service,EUR,standard,20,PER_CONTAINER,199.01
Documentation fee - Destination,EUR,standard,40,PER_BL,50.0
Terminal Handling Service - Destination,EUR,standard,40,PER_CONTAINER,0.0
Import Service,EUR,standard,40,PER_CONTAINER,199.01
Documentation fee - Destination,EUR,standard,40HC,PER_BL,50.0
Terminal Handling Service - Destination,EUR,standard,40HC,PER_CONTAINER,0.0
Import Service,EUR,standard,40HC,PER_CONTAINER,199.01
Documentation fee - Destination,EUR,standard,45HC,PER_BL,50.0
Terminal Handling Service - Destination,EUR,standard,45HC,PER_CONTAINER,0.0
Import Service,EUR,standard,45HC,PER_CONTAINER,199.01

port,Cork
Documentation fee - Destination,EUR,standard,20,PER_BL,40.0
Documentation fee - Destination,EUR,standard,40,PER_BL,40.0
Documentation fee - Destination,EUR,standard,40HC,PER_BL,40.0
Documentation fee - Destination,EUR,standard,45HC,PER_BL,40.0

port,IEDUB1
Documentation fee - Destination,EUR,standard,20,PER_BL,40.0
Documentation fee - Destination,EUR,standard,40,PER_BL,40.0
Documentation fee - Destination,EUR,standard,40HC,PER_BL,40.0
Documentation fee - Destination,EUR,standard,45HC,PER_BL,40.0

port,GBFXT1
Documentation fee - Destination,GBP,standard,20,PER_BL,20.0
Terminal Handling Service - Destination,GBP,standard,20,PER_CONTAINER,145.0
Documentation fee - Destination,GBP,standard,40,PER_BL,20.0
Terminal Handling Service - Destination,GBP,standard,40,PER_CONTAINER,145.0
Documentation fee - Destination,GBP,standard,40HC,PER_BL,20.0
Terminal Handling Service - Destination,GBP,standard,40HC,PER_CONTAINER,145.0
Documentation fee - Destination,GBP,standard,45HC,PER_BL,20.0
Terminal Handling Service - Destination,GBP,standard,45HC,PER_CONTAINER,145.0

port,SEFRA1
Documentation fee - Destination,EUR,standard,20,PER_BL,50.0
Import Service,EUR,standard,20,PER_CONTAINER,181.87
Documentation fee - Destination,EUR,standard,40,PER_BL,50.0
Import Service,EUR,standard,40,PER_CONTAINER,194.32
Documentation fee - Destination,EUR,standard,40HC,PER_BL,50.0
Import Service,EUR,standard,40HC,PER_CONTAINER,194.32
Documentation fee - Destination,EUR,standard,45HC,PER_BL,50.0
Import Service,EUR,standard,45HC,PER_CONTAINER,194.32

port,SEGOT1
Documentation fee - Destination,EUR,standard,20,PER_BL,50.0
Terminal Handling Service - Destination,EUR,standard,20,PER_CONTAINER,0.0
Import Service,EUR,standard,20,PER_CONTAINER,195.41
Documentation fee - Destination,EUR,standard,40,PER_BL,50.0
Terminal Handling Service - Destination,EUR,standard,40,PER_CONTAINER,0.0
