Description,Currency,Container-type,Container size,Unit,Rate/unit

port,INAMD6
port,DKAAR1
TRANSIT TIME,
CARRIER,Maersk
SERVICE MODE,CY / CY
ROUTING,
Remarks,


Basic Ocean Freight,USD,standard,20,PER_CONTAINER,250.0
Congestion Fee Destination,USD,standard,20,PER_CONTAINER,0 
Peak Season Surcharge,USD,standard,20,PER_CONTAINER,0 
Congestion Fee Origin,USD,standard,20,PER_CONTAINER,0 

port,INAMD6
port,DKAAR1
TRANSIT TIME,
CARRIER,Maersk
SERVICE MODE,CY / CY
ROUTING,
Remarks,


Basic Ocean Freight,USD,standard,40,PER_CONTAINER,400.0
Congestion Fee Destination,USD,standard,40,PER_CONTAINER,0 
Peak Season Surcharge,USD,standard,40,PER_CONTAINER,0 
Congestion Fee Origin,USD,standard,40,PER_CONTAINER,0 

port,INAMD6
port,DKAAR1
TRANSIT TIME,
CARRIER,Maersk
SERVICE MODE,CY / CY
ROUTING,
Remarks,


Basic Ocean Freight,USD,standard,40HC,PER_CONTAINER,400.0
Congestion Fee Destination,USD,standard,40HC,PER_CONTAINER,0 
Peak Season Surcharge,USD,standard,40HC,PER_CONTAINER,0 
Congestion Fee Origin,USD,standard,40HC,PER_CONTAINER,0 

port,INAMD6
port,BEANR1
TRANSIT TIME,
CARRIER,Maersk
SERVICE MODE,CY / CY
ROUTING,
Remarks,


Basic Ocean Freight,USD,standard,20,PER_CONTAINER,200.0
Congestion Fee Destination,USD,standard,20,PER_CONTAINER,0 
Peak Season Surcharge,USD,standard,20,PER_CONTAINER,0 
Congestion Fee Origin,USD,standard,20,PER_CONTAINER,0 

port,INAMD6
port,BEANR1
TRANSIT TIME,
CARRIER,Maersk
SERVICE MODE,CY / CY
ROUTING,
Remarks,


Basic Ocean Freight,USD,standard,40,PER_CONTAINER,300.0
Congestion Fee Destination,USD,standard,40,PER_CONTAINER,0 
Peak Season Surcharge,USD,standard,40,PER_CONTAINER,0 
Congestion Fee Origin,USD,standard,40,PER_CONTAINER,0 

port,INAMD6
port,BEANR1
TRANSIT TIME,
CARRIER,Maersk
SERVICE MODE,CY / CY
ROUTING,
Remarks,


Basic Ocean Freight,USD,standard,40HC,PER_CONTAINER,300.0
Congestion Fee Destination,USD,standard,40HC,PER_CONTAINER,0 
Peak Season Surcharge,USD,standard,40HC,PER_CONTAINER,0 
Congestion Fee Origin,USD,standard,40HC,PER_CONTAINER,0 

port,INAMD6
port,DEBRV1
TRANSIT TIME,
CARRIER,Maersk
SERVICE MODE,CY / CY
ROUTING,
Remarks,


Basic Ocean Freight,USD,standard,20,PER_CONTAINER,200.0
Congestion Fee Destination,USD,standard,20,PER_CONTAINER,0 
Peak Season Surcharge,USD,standard,20,PER_CONTAINER,0 
Congestion Fee Origin,USD,standard,20,PER_CONTAINER,0 

port,INAMD6
port,DEBRV1
TRANSIT TIME,
CARRIER,Maersk
SERVICE MODE,CY / CY
ROUTING,
Remarks,


Basic Ocean Freight,USD,standard,40,PER_CONTAINER,300.0
Congestion Fee Destination,USD,standard,40,PER_CONTAINER,0 
Peak Season Surcharge,USD,standard,40,PER_CONTAINER,0 
Congestion Fee Origin,USD,standard,40,PER_CONTAINER,0 
